,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
COMMD1,1.5243056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EHBP1,1.6599302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9634924
UGP2,1.5060248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEIS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1743801,0.0,0.0,0.0
AAK1,1.5060248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.702804,0.0,0.0,0.0
CTNNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8433793,0.0,0.0
ELMOD3,1.7403343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP39,0.0,0.0,0.0,0.0,0.0,2.8438175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1631815,0.0,0.0,0.0,0.0,0.0,0.0
AFF3,0.0,0.0,0.0,0.0,0.0,2.960883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF149,0.0,0.0,0.0,0.0,0.0,0.0,2.316152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL18R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5002618,0.0,0.0,0.0,0.0
LIMS1,1.6322217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
