,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
ENSG00000003436,0.0,2.775641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1409545,2.6833253,0.0,0.0,0.0,0.0,0.0
ENSG00000065413,0.0,0.0,0.0,0.0,2.7439952,3.1688046,0.0,2.8459766,2.9548354,2.4700055,0.0,0.0,0.0,0.0
ENSG00000003402,1.7208471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204217,1.2108295,0.0,2.6131697,0.0,2.6763394,0.0,0.0,0.0,0.0,0.0,0.0,1.5152847,0.0,0.0
ENSG00000116117,2.1046963,0.0,0.0,0.0,2.3897533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3924584,0.0,0.0
ENSG00000178568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9341065,0.0,0.0
ENSG00000115414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8822446,0.0,0.0,0.0
ENSG00000079308,1.8338006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4495149,0.0,0.0,0.0
ENSG00000135905,0.0,0.0,0.0,0.0,0.0,2.8438175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173744,0.0,0.0,0.0,0.0,0.0,0.0,1.8831584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135917,2.1610782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153823,0.0,0.0,0.0,2.6915927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000067066,0.0,0.0,0.0,0.0,0.0,3.010868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5721103,0.0,0.0,0.0
ENSG00000157985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6299081,0.0,0.0
