,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
G0S2,0.0,0.0,0.0,1.0,0.0,0.0
NENF,0.0,1.0,0.0,0.0,0.0,0.0
ATF3,0.0,0.0,0.0,1.0,0.0,0.0
SRP9,0.0,1.0,0.0,0.0,0.0,0.0
EPHX1,0.0,1.0,0.0,0.0,0.0,0.0
H3-3A,0.0,0.016996359825134276,0.04227168560028076,0.17921253442764282,0.008014523983001709,0.19376590251922607
ARF1,0.0,0.5261063933372497,0.4475527763366699,0.4,0.40566874742507936,0.0
GUK1,0.0,0.637663197517395,0.684507155418396,0.6,0.0,0.0
AGT,0.0,0.0,0.0,0.0,1.0,0.0
IRF2BP2,0.0,0.0,0.0,1.0,0.0,0.0
TOMM20,0.0,0.0,0.0,1.0,0.0,0.0
LYST,0.0,0.0,0.0,1.0,0.0,0.0
HNRNPU,0.0,0.6,0.6622635364532471,0.7846922993659973,0.0,0.0
ADI1,0.0,1.0,0.0,0.0,0.0,0.0
RPS7,0.2221421480178833,0.2,0.35598574876785277,0.23540655374526978,0.26864718198776244,0.0
ID2,0.0,0.0,0.8636523962020874,0.8,0.0,0.0
YWHAQ,0.0,0.8252695322036743,0.0,0.0,0.8,0.0
PDIA6,0.0,1.0,0.0,0.0,0.0,0.0
LAPTM4A,0.4,0.711970841884613,0.0,0.4370700240135193,0.5751550674438477,0.0
RHOB,0.0,0.0,0.0,0.0,1.0,0.0
SF3B6,0.0,1.0,0.0,0.0,0.0,0.0
RAB10,0.0,0.0,0.0,1.0,0.0,0.0
HADHA,0.0,0.0,0.0,1.0,0.0,0.0
OST4,0.0,0.4794042229652405,0.5503504157066346,0.41725935935974123,0.4,0.0
ATRAID,0.0,1.0,0.0,0.0,0.0,0.0
FOSL2,0.0,0.0,0.0,1.0,0.0,0.0
PPP1CB,0.0,0.8,0.0,0.8179235100746155,0.0,0.0
LTBP1,0.0,1.0,0.0,0.0,0.0,0.0
VIT,0.0,1.0,0.0,0.0,0.0,0.0
SRSF7,0.0,0.4193013787269592,0.6862276196479797,0.41534656286239624,0.4,0.0
ZFP36L2,0.0,0.6391814112663269,0.7356677532196045,0.6,0.0,0.0
EPAS1,0.9135790824890136,0.0,0.0,0.0,0.8,0.0
CALM2,0.2,0.3176185965538025,0.25024851560592654,0.3279213190078735,0.454718554019928,0.0
SPTBN1,0.8158189535140992,0.8,0.0,0.0,0.0,0.0
RTN4,0.0,0.7527092576026917,0.0,0.6749711632728577,0.6,0.0
RPS27A,0.019996500015258788,0.0,0.2578957796096802,0.10531582832336425,0.010308527946472168,0.009261906147003174
CCDC88A,0.0,0.0,0.0,1.0,0.0,0.0
EFEMP1,0.0,1.0,0.0,0.0,0.0,0.0
REL,0.0,0.0,0.0,1.0,0.0,0.0
ACTR2,0.0,0.0,0.0,1.0,0.0,0.0
PLEK,0.0,0.0,0.0,1.0,0.0,0.0
ANXA4,0.0,1.0,0.0,0.0,0.0,0.0
PCBP1,0.0,0.0,0.0,1.0,0.0,0.0
SNRPG,0.0,0.0,0.0,1.0,0.0,0.0
MOB1A,0.0,0.0,0.0,1.0,0.0,0.0
MTHFD2,0.0,0.0,0.0,0.0,1.0,0.0
TMSB10,0.28286014795303344,0.11281635761260986,0.2593189001083374,0.2791829824447632,0.0,0.07708449363708496
TGOLN2,0.0,0.0,0.0,1.0,0.0,0.0
MAT2A,0.0,0.0,0.0,1.0,0.0,0.0
VAMP8,0.0,0.0,0.0,1.0,0.0,0.0
GNLY,0.0,0.0,1.0,0.0,0.0,0.0
DUSP2,0.0,0.0,0.8536482810974121,0.8,0.0,0.0
