,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
KYNU,0.0,0.0,0.0,0.7847989,0.0,0.0
ZEB2,0.0,0.0,0.0,1.6506383,0.0,0.0
PRPF40A,0.0,0.0,0.0,0.6550069,0.0,0.0
NR4A2,0.0,0.0,1.6338791,1.7122338,0.0,0.0
CYTIP,0.0,0.0,1.2440813,0.8027211,0.0,0.0
CD302,0.0,0.0,0.0,0.9531059,0.0,0.0
RBMS1,0.0,0.94770366,0.0,0.0,0.0,0.0
TANK,0.0,0.0,0.0,0.57550645,0.0,0.0
GCA,0.0,0.0,0.0,0.51351804,0.0,0.0
SCN7A,0.0,1.5850896,0.0,0.0,0.0,0.0
SSB,0.0,0.56672513,0.0,0.0,0.0,0.0
CYBRD1,0.0,1.5878717,0.0,0.0,0.0,0.0
MAP3K20,0.0,0.0,0.0,0.0,1.3606049,0.0
ATP5MC3,0.0,0.9794771,0.0,0.89241844,1.4496397,0.0
HNRNPA3,0.0,1.0367962,1.3636297,1.174187,0.75266504,0.0
NFE2L2,0.0,1.4136429,0.0,1.6732526,0.0,0.0
TFPI,0.0,1.4616114,0.0,0.0,0.0,0.0
COL3A1,0.0,1.5445701,0.0,0.0,0.0,0.0
GLS,0.0,0.0,0.0,0.653883,0.0,0.0
NABP1,0.0,0.0,0.0,1.2067512,0.0,0.0
CAVIN2,1.7024447,0.0,0.0,0.0,0.0,0.0
STK17B,0.0,0.0,0.0,0.91246784,0.0,0.0
SF3B1,0.0,0.6640709,0.0,0.8623573,0.0,0.0
HSPD1,0.0,0.0,0.0,0.83274835,0.0,0.0
HSPE1,0.0,0.0,1.2959955,1.0549028,0.0,0.0
BZW1,0.0,1.0768298,1.3580245,0.90014553,0.0,0.0
CLK1,0.0,0.0,0.0,0.59779,0.0,0.0
CFLAR,0.0,0.0,0.0,1.3569529,0.0,0.0
EEF1B2,0.0,1.2416257,2.2641735,1.9591753,1.0534104,0.0
FN1,0.0,3.012204,0.0,0.0,0.0,0.0
XRCC5,0.0,0.0,0.0,0.5424875,0.0,0.0
RPL37A,2.4829838,2.3155756,2.9987137,2.7982135,2.6327198,0.0
IGFBP5,0.0,0.0,0.0,0.0,2.5940526,0.0
ARPC2,0.0,1.227629,2.3532095,2.1174207,1.0948929,0.0
SERPINE2,0.0,1.3449391,0.0,0.0,0.0,0.0
NCL,0.0,0.8648961,1.7880193,1.2094253,0.0,0.0
PTMA,3.0516937,2.4984667,3.6492136,3.3434336,3.2685723,2.819925
EFHD1,0.0,0.0,0.0,0.0,0.72555184,0.0
ARL4C,0.0,0.0,1.8014076,0.0,0.0,0.0
ACKR3,0.0,1.0411627,0.0,0.0,0.0,0.0
COL6A3,0.0,1.5135784,0.0,0.0,0.0,0.0
LRRFIP1,0.0,0.0,0.0,1.6095183,0.0,0.0
