,Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Myeloid,Neuronal,Pericyte,Smooth Muscle
CDC14A,0.0,0.0,0.0,1.1900637,0.0,0.0,0.0,0.0
CDC14B,1.5898882,0.0,0.0,0.0,0.0,0.0,0.0,1.368087
CDC27,0.0,0.0,0.77108705,0.0,0.0,0.0,0.809579,0.0
CDC42BPA,1.5587124,2.3162618,1.432712,0.0,0.0,1.2065456,2.450703,1.6378736
CDC42SE2,0.0,0.0,0.0,2.5879664,1.081445,0.0,0.0,0.0
CDC73,0.71742654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH13,2.4821458,2.205564,0.0,0.0,0.0,0.0,0.0,0.0
CDH19,0.0,0.0,2.5090775,0.0,0.0,4.0961742,0.0,0.0
CDH2,2.7872896,0.0,0.0,0.0,0.0,0.7129702,0.0,0.0
CDK13,0.8319043,0.0,1.1820843,1.5165746,1.0093027,0.0,0.9895582,0.73810107
CDK14,1.4369159,0.0,2.0436363,0.0,0.0,0.0,1.4721332,0.0
CDK17,0.0,2.2345228,0.0,1.4626384,0.0,0.0,0.0,0.93974984
CDK6,1.0864942,1.4257689,0.0,0.0,0.0,0.0,0.0,0.0
CDK8,0.74511534,0.0,0.8741118,0.0,0.0,0.0,0.0,0.0
CDKAL1,0.96789086,1.4893169,1.5797133,1.6338798,1.3158102,1.2894769,1.457174,1.4539611
CEBPD,0.0,0.0,1.8149433,0.0,0.0,0.0,1.2202574,1.336227
CECR2,0.9274287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELF1,0.0,0.0,0.8736237,0.99120116,1.3664523,0.0,0.0,0.0
CELF2,2.068789,0.0,2.4931045,2.64885,2.2537067,2.2173872,0.0,0.0
CEP112,0.0,0.83722055,0.0,0.0,0.0,0.0,0.0,0.0
CEP170,0.0,0.0,0.0,0.0,1.4890511,0.0,0.0,0.0
CEP350,0.9088118,0.0,0.9498857,0.0,1.1094623,0.98386014,1.1470596,0.9181516
CEP85L,0.0,0.0,0.0,1.6337148,0.0,0.0,0.0,0.0
CERS6,1.5721085,0.0,0.0,0.0,0.0,0.0,1.477722,0.0
CFAP61,0.8296024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFD,0.0,0.0,1.9944096,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.0,1.707782,0.0,0.0,0.0,0.0,0.0
CFLAR,1.5011287,1.7168081,1.3243558,1.5196166,1.2112437,0.0,0.0,0.0
CHCHD3,1.3840673,0.0,0.0,0.0,0.0,0.0,0.0,0.8859736
CHD1,0.0,0.0,0.8900011,0.0,0.86821455,0.0,1.2005073,1.7214131
CHD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895082
CHD7,0.0,0.0,0.0,0.0,0.0,0.76717275,0.0,0.0
