index,B-lymphocytes,NK cells,T-lymphocytes,cilliated epithelial,endothelial,epithelial 1,epithelial 2,fibroblast 1,fibroblast 2,fibroblast 3,mast cells,mesothelial,mural cells,myeloid 1,myeloid 2,myeloid 3,pDC,plasma B-lymphocyte
ADH1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH5,0.0,0.0,0.0,1.0399923,0.0,0.0,0.9155719,0.9301266,0.8669371,0.86254627,0.0,0.8862643,0.7580237,0.0,0.3147028,0.34993502,0.47364104,0.0
ADI1,0.0,0.0,0.0,0.31599778,0.0,0.0,0.7624161,0.49831474,0.83375204,0.33174515,0.0,0.76684904,0.6632056,0.0,0.4170154,0.44489056,0.5318358,0.24962886
ADIPOR1,0.0,0.0,0.0,0.5014116,0.0,0.0,0.2164245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26406944,0.39233565,0.0,0.0
ADIRF,0.0,0.0,0.0,0.0,2.011613,0.0,0.0,0.0,0.0,1.4960184,0.0,2.020582,3.6120658,0.0,0.0,0.0,0.0,0.0
ADK,0.0,0.0,0.0,0.20577389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADNP,0.0,0.0,0.0,0.3518685,0.0,0.0,0.33110362,0.0,0.27754343,0.0,0.0,0.355389,0.0,0.0,0.0,0.0,0.0,0.0
ADPGK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265588,0.53326726,0.53713405,0.63190854,0.0
ADRA2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40262753,1.0344667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44377214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRM1,0.0,0.0,0.0,0.5348481,0.27189547,0.0,0.38019645,0.0,0.0,0.0,0.0,0.30691838,0.0,0.0,0.418448,0.35492456,0.4706959,0.0
ADSS,0.0,0.0,0.0,0.5778127,0.0,0.0,0.3659709,0.0,0.26370165,0.0,0.0,0.33956885,0.0,0.0,0.30068922,0.0,0.0,0.0
AEBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9873053,1.1349335,1.9607279,0.0,0.5180886,1.0756452,0.0,0.0,0.0,0.0,0.0
AEBP2,0.0,0.0,0.0,0.21724066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AES,1.0526617,1.3833278,1.4328513,0.97811735,0.7027135,0.0,0.7561426,0.85929453,1.0261769,0.7258964,0.0,0.84471375,0.0,0.61904633,0.5876438,0.6280185,1.2905089,0.0
AFDN,0.0,0.0,0.0,1.0530717,0.48542026,0.0,0.8511197,0.0,0.0,0.0,0.0,0.5336733,0.0,0.0,0.0,0.0,0.0,0.0
AFF1,0.0,0.0,0.0,0.15505466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2724226,0.0,0.0,0.0,0.0,0.0,0.0
AFF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661013,0.0
AFF4,0.0,0.0,0.0,0.35513616,0.0,0.0,0.4158746,0.37955472,0.4732576,0.0,0.0,0.39012605,0.0,0.0,0.3370673,0.3962684,0.46771622,0.0
AFG3L2,0.0,0.0,0.0,0.12424527,0.0,0.0,0.18679057,0.0,0.0,0.0,0.0,0.35332206,0.0,0.0,0.0,0.0,0.0,0.0
AFTPH,0.0,0.0,0.0,0.37034783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117535606
AGAP1,0.0,0.0,0.0,0.27475518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGBL2,0.0,0.0,0.0,0.26001418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGBL5,0.0,0.0,0.0,0.2526477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
