,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
PRRC2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PRDX6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CACYBP,0.0,0.0,0.0,0.95,0.0,0.0,0.9535037636756897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QSOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979226416349411,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARPC5,0.0,0.0,0.0,0.9171446919441223,0.0,0.0,0.9074181884527206,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS1,0.0,0.65,0.0,0.6684369772672654,0.6673618942499161,0.0,0.0,0.0,0.0,0.0,0.7134428650140763,0.0,0.7044418007135391,0.7130851715803146,0.0,0.0,0.6643640279769898,0.0,0.0,0.7576971530914307,0.0
RGS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9392333865165711,0.9361635506153106,0.0,0.0,0.0,0.0,0.9,0.0,0.0
CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9045496314764023,0.0,0.0,0.0,0.0,0.0,0.0,0.9343586713075638,0.0
CSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
LMOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ELF3,0.0,0.0,0.0,0.0,0.0,0.800816860795021,0.7837711304426194,0.0,0.0,0.8057646363973617,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.8147810280323029,0.0,0.0,0.8069391936063767
UBE2T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PPP1R12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BTG2,0.0,0.0,0.0,0.0,0.6738042712211609,0.0,0.8325370937585831,0.0,0.0,0.7179967641830445,0.0,0.0,0.0,0.0,0.651482754945755,0.6797885149717331,0.6919097751379013,0.65,0.0,0.0,0.6820692181587219
SNRPE,0.0,0.0,0.0,0.8284792482852936,0.0,0.0,0.8369996070861816,0.0,0.0,0.8021331369876862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8373916745185852
NUCKS1,0.6016683131456375,0.0,0.6,0.6399143427610398,0.0,0.0,0.0,0.6700875043869019,0.6764701634645462,0.0,0.0,0.6323819994926453,0.0,0.0,0.0,0.6538224905729294,0.0,0.0,0.6179368019104003,0.0,0.6381257444620132
PIGR,0.0,0.0,0.0,0.0,0.0,0.8704253822565079,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897838345170021,0.0,0.0,0.8523317486047745
CD55,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9520504087209701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATF3,0.0,0.0,0.0,0.0,0.0,0.7581002444028855,0.8108298689126968,0.0,0.0,0.8268694907426835,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.7721617162227631,0.0,0.0,0.8398735582828522
PROX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SRP9,0.0,0.0,0.0,0.8393318116664886,0.0,0.0,0.8938154458999634,0.0,0.0,0.8048675358295441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8176477670669555
H3-3A,0.14788671135902404,0.11764414608478546,0.19278706908226012,0.2164887696504593,0.05870188772678375,0.09185556769371032,0.40954852402210234,0.1434423178434372,0.13434384465217591,0.1771780163049698,0.13189983665943145,0.14111404418945311,0.17034595906734468,0.11270556449890137,0.0,0.17479270100593566,0.05,0.19454172253608704,0.16006667613983155,0.0945320338010788,0.2490528404712677
ARF1,0.0,0.0,0.0,0.8232788532972336,0.0,0.0,0.8072284102439881,0.0,0.0,0.8189790517091751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8488947182893753
