,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
ENSG00000204472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9032853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204435,0.0,0.0,0.0,0.0,0.0,0.0,0.9700449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000213722,0.0,0.0,0.0,0.0,0.0,0.0,0.48731095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000213719,0.0,0.0,1.0779455,1.708337,0.0,0.0,1.6444767,0.0,0.0,1.5941484,0.0,0.0,1.0774682,0.0,0.0,0.0,0.0,1.5244496,0.0,0.0,1.9878209
ENSG00000204389,1.3134196,0.0,0.0,0.0,0.0,0.0,1.4687959,0.0,0.0,0.0,0.0,0.0,1.4097708,0.0,0.0,1.4730395,0.0,0.0,0.0,0.0,0.7308157
ENSG00000204388,0.0,0.0,0.0,0.0,0.0,0.0,1.3102486,0.0,0.0,0.0,0.0,0.0,0.7498557,0.0,0.0,0.0,0.0,0.93461573,0.0,0.0,0.7814114
ENSG00000213654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204301,0.0,0.0,1.4332587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204287,2.7412767,4.0136375,2.6176167,0.0,0.0,2.61581,0.0,0.0,0.0,0.0,0.0,2.05331,4.9259725,0.0,0.0,0.0,0.0,1.1905788,0.0,0.0,0.0
ENSG00000198502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1864134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196126,2.591764,2.749914,2.466548,0.0,0.0,1.9945923,0.0,0.0,0.0,0.0,0.0,0.0,3.9547687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196735,0.0,2.2022178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1753745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179344,0.0,2.0526953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9866014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204264,0.0,0.0,0.0,0.92563146,0.0,0.0,1.0810192,0.0,0.0,0.8008572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80523837,0.0,0.0,0.85382694
ENSG00000240065,0.0,0.0,1.2339809,1.1927737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32139897,0.0,0.0,0.0
ENSG00000242574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5866337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.078567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204256,0.0,0.0,0.0,0.0,0.0,0.0,0.91811806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
