,B cell,B cell (Plasmocyte),Basal cell,CB CD34+,Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte,Enterocyte progenitor,Epithelial cell,Epithelial cell (intermediated),Fetal Neuron,Fetal endocrine cell,Fetal enterocyte,Fetal epithelial progenitor,Fetal mesenchymal progenitor,Fetal neuron,Fetal stromal cell,Fibroblast,Gastric chief cell,Gastric endocrine cell,Goblet cell,Hepatocyte/Endodermal cell,M2 Macrophage,Macrophage,Mast cell,Monocyte,Neutrophil,Primordial germ cell,Smooth muscle cell,Stratified epithelial cell,Stromal cell,T cell
SOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0681626,0.0,0.0,0.0,0.0,0.0,3.0779874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6084787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9713638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL26,2.7862883,0.0,3.1894002,1.510974,2.410729,0.0,0.0,0.0,0.0,0.0,0.0,2.8824577,0.0,2.6090841,0.0,0.0,0.0,0.0,0.0,0.0,2.3969865,3.0256717,2.7898664,0.0,1.5527855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS27A,3.3703907,0.0,3.8981104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.321631,0.0,3.232028,0.0,0.0,0.0,0.0,0.0,0.0,2.1469343,0.0,3.1220112,0.0,1.7443908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2204132
RPS27L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3684144,0.0,0.0,0.0,0.0,0.0,0.0,1.3902968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERF2,0.0,2.0354342,0.0,0.0,2.972243,0.0,2.153638,3.1808853,2.7032104,2.777053,2.951597,1.0681626,0.0,2.5653214,2.5986276,0.0,0.0,2.5682788,0.0,2.7163024,0.0,2.6738229,2.7992365,0.0,3.1653056,0.0,0.0,2.7963617,2.7679136,3.2066689,2.815324,2.828146,0.0,0.0
ENSG00000211592,0.0,7.676054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL12,0.0,0.0,2.7862883,0.0,0.0,0.0,0.0,0.0,2.1869795,0.0,0.0,1.0681626,0.0,2.530573,2.6279907,0.0,0.0,1.821102,0.0,0.0,0.0,0.0,2.6345193,0.0,3.490323,0.0,0.0,0.0,0.0,3.5232596,0.0,0.0,0.0,0.0
MUC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.80214,0.0,2.7322755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
