,Ascending vasa recta endothelium,B cell,CD4 T cell,CD8 T cell,Connecting tubule,Descending vasa recta endothelium,Distinct proximal tubule 1,Distinct proximal tubule 2,Epithelial progenitor cell,Fibroblast,Glomerular endothelium,Indistinct intercalated cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,MNP-c/dendritic cell,MNP-d/Tissue macrophage,Mast cell,Myofibroblast,NK cell,NKT cell,Neutrophil,Pelvic epithelium,Peritubular capillary endothelium 1,Peritubular capillary endothelium 2,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating Proximal Tubule,Proximal tubule,Thick ascending limb of Loop of Henle,Type A intercalated cell,Type B intercalated cell
RSRP1,0.0,0.0,0.0,0.0,0.83068955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7240298,0.0,0.60499185,0.0,0.0,0.0,0.44354582,1.0144254
TMEM50A,0.0,0.0,0.0,0.0,0.0,0.0,0.70650226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205114,0.39173627,1.2168177,1.111825,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5082703,1.2811506,0.0,0.0,0.0,0.0,0.0,0.0
SH3BGRL3,0.0,0.0,2.2834606,2.3519182,0.65712535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7679353,2.6669397,1.4048193,0.0,0.0,0.0,2.2725925,2.5781136,0.0,0.94275504,0.0,1.4538978,1.342254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD52,0.0,3.0618289,2.8407748,2.3277628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1286469,2.9747586,0.0,0.0,0.0,0.0,0.0,3.001404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGN2,0.0,0.0,0.0,0.0,1.4931406,0.0,1.6362958,0.0,0.0,1.1123564,0.0,0.0,0.0,1.4128195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444075,0.0,0.0,1.7022725,0.0,1.2790941,0.0,0.0,0.0,0.8549126,1.3502796
SFN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45277593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6698992,0.0,0.0,0.0,0.0,0.0,0.0,0.70852417
NR0B2,0.0,0.0,0.0,0.0,0.765631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCN3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.385414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
