,BEST4+ cell,Enterocyte progenitor cell subset 2,Enterocyte progenitor cell subset 3,Enterocyte subset 1,Enterocyte subset 2,Enteroendocrine cell subset 1,Enteroendocrine cell subset 2,Goblet cell subset 1,Goblet cell subset 2,Goblet cell subset 3,Goblet progenitor,Mature enterocyte subset 1,Mature enterocyte subset 2,Microfold cell,Mixed cell types,Paneth cell,Stem cell,Transit amplifying cell subset 1,Transit amplifying cell subset 2,Transit amplifying cell subset 3,Tuft cell,enterocyte progenitor subset 1
PDGFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM144,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143
ETFDH,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.0,0.23809523809523808,0.0,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.0,0.23809523809523808
PPID,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.6394687039511544,0.42857142857142855,0.0,0.42857142857142855
FNIP2,0.6819824803443182,0.0,0.0,0.0,0.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.6819824803443182,0.0,0.0,0.0,0.5238095238095238,0.5238095238095238,0.0,0.5238095238095238,0.0,0.0,0.0,0.5238095238095238
RAPGEF2,0.1581729565347944,0.1581729565347944,0.0,0.0,0.0,0.3032223241669791,0.3932261239914667,0.1581729565347944,0.3932261239914667,0.1581729565347944,0.1581729565347944,0.0,0.0,0.1581729565347944,0.0,0.3032223241669791,0.1581729565347944,0.0,0.0,0.1581729565347944,0.1581729565347944,0.0
TMA16,0.0,0.7380952380952381,0.7380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.0,0.7380952380952381
MARCHF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMIM31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5442306087130592,0.3333333333333333,0.5442306087130592,0.5442306087130592,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
MSMO1,0.0,0.0,0.5238095238095238,0.5238095238095238,0.6819824803443182,0.0,0.0,0.5238095238095238,0.0,0.0,0.5238095238095238,0.0,0.5238095238095238,0.0,0.5238095238095238,0.0,0.0,0.5238095238095238,0.6819824803443182,0.5238095238095238,0.0,0.5238095238095238
CPE,0.0,0.0,0.0,0.0,0.0,0.967494941893078,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX60L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PALLD,0.3072681568917774,0.17574772948310488,0.0,0.17574772948310488,0.0,0.0,0.0,0.3072681568917774,0.3967110174042838,0.17574772948310488,0.3967110174042838,0.17574772948310488,0.17574772948310488,0.0,0.0,0.0,0.17574772948310488,0.0,0.0,0.0,0.3072681568917774,0.17574772948310488
CBR4,0.2962185059274946,0.2962185059274946,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.2962185059274946,0.023809523809523808,0.023809523809523808,0.2962185059274946,0.2962185059274946,0.023809523809523808,0.023809523809523808,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.2962185059274946,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
SH3RF1,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.20977440902165004,0.052724318844931464,0.0,0.20977440902165004,0.31933670384543283,0.052724318844931464,0.052724318844931464,0.20977440902165004,0.20977440902165004,0.0,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.052724318844931464,0.0,0.052724318844931464
NEK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CLCN3,0.0,0.0,0.0,0.0,0.35149545896620976,0.0,0.0,0.35149545896620976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPF1,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.0
GALNT7,0.08310059706370036,0.08310059706370036,0.017574772948310488,0.08310059706370036,0.24640118224280222,0.017574772948310488,0.017574772948310488,0.3440705225581214,0.3440705225581214,0.17721467642557054,0.24640118224280222,0.08310059706370036,0.17721467642557054,0.0,0.08310059706370036,0.017574772948310488,0.08310059706370036,0.08310059706370036,0.08310059706370036,0.017574772948310488,0.017574772948310488,0.08310059706370036
HMGB2,0.19047619047619047,0.3486491470109849,0.3486491470109849,0.0,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.6727719704310099,0.0,0.0,0.3486491470109849,0.3486491470109849,0.19047619047619047,0.19047619047619047,0.6499749961353484,0.6499749961353484,0.3486491470109849,0.19047619047619047,0.3486491470109849
SAP30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.9098671759877887,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
