,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
PSMG2,0.6472469,0.52815306,0.7956661,0.0,0.6238712,0.7040864,0.64438415,0.7520125
PTPN2,0.0,0.0,0.0,0.0,0.4952132,0.0,0.0,0.0
RNMT,0.27352825,0.12731242,0.49817178,0.0,0.44452292,0.0,0.29545647,0.5553213
ROCK1,0.79335463,0.87594736,0.72505724,0.0,1.1948514,1.4129605,1.204498,0.80899066
SNRPD1,0.68140745,0.4739445,0.41576552,0.0,0.60247505,0.5554954,0.5227572,0.5708125
GATA6,0.0,0.56351125,0.31432754,0.0,0.0,0.0,0.0,0.0
RIOK3,0.39159042,0.5738081,0.5303464,0.0,0.40294772,0.0,0.33386424,0.0
ANKRD29,0.5935148,0.0,0.0,0.0,0.0,0.39563,0.0,0.0
OSBPL1A,0.34451044,0.0,0.4772578,0.0,0.0,0.86016977,0.6318065,0.79876447
CDH2,0.0,0.0,0.0,0.0,0.0,0.0,0.72102624,0.0
DSC2,0.0,0.0,0.0,0.0,0.3585015,0.0,0.0,0.0
MAPRE2,0.0,0.0,0.0,0.0,0.0,0.71834755,0.39253348,0.0
GALNT1,0.0,0.0,0.0,0.0,0.40004784,0.0,0.0,0.0
SETBP1,0.0,0.5513016,0.3004901,0.0,0.0,0.0,0.0,0.0
ATP5F1A,0.8428373,0.8686539,0.77232265,0.8339993,0.9730321,1.1992807,1.0158954,1.0267993
